
2024/02/19 (23:47:04) | ===> btop++ v.1.3.2
2024/02/19 (23:47:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/20 (13:50:08) | ===> btop++ v.1.3.2
2024/02/20 (13:50:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/20 (13:51:05) | ===> btop++ v.1.3.2
2024/02/20 (13:51:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/20 (13:52:25) | ===> btop++ v.1.3.2
2024/02/20 (13:52:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/20 (22:20:42) | ===> btop++ v.1.3.2
2024/02/20 (22:20:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/20 (22:21:25) | ===> btop++ v.1.3.2
2024/02/20 (22:21:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/20 (22:21:50) | ===> btop++ v.1.3.2
2024/02/20 (22:21:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/20 (22:24:57) | ===> btop++ v.1.3.2
2024/02/20 (22:24:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/20 (22:27:55) | ===> btop++ v.1.3.2
2024/02/20 (22:27:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/20 (22:28:54) | ===> btop++ v.1.3.2
2024/02/20 (22:28:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/20 (22:36:31) | ===> btop++ v.1.3.2
2024/02/20 (22:36:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/20 (22:47:04) | ===> btop++ v.1.3.2
2024/02/20 (22:47:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/21 (20:40:09) | ===> btop++ v.1.3.2
2024/02/21 (20:40:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/22 (13:17:24) | ===> btop++ v.1.3.2
2024/02/22 (13:17:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/23 (12:13:11) | ===> btop++ v.1.3.2
2024/02/23 (12:13:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/23 (17:51:29) | ===> btop++ v.1.3.2
